solver,benchType,nodes,dims,10%,20%,30%,40%,50%,60%,70%,80%,90%,100%
test,ss_varden,10000000,3,0.02,0.035,0.042,0.05,0.047,0.062,0.053,0.062,0.055,0.004
test,ss_varden,50000000,3,0.074,0.102,0.124,0.15,0.182,0.199,0.207,0.241,0.292,0.023
test,ss_varden,100000000,3,0.133,0.17,0.204,0.236,0.272,0.299,0.347,0.367,0.546,0.047
test,ss_varden,500000000,3,0.642,0.85,1.057,1.271,1.5,1.62,1.944,2.146,2.376,0.215
zdtree,ss_varden,10000000,3,0.005,0.006,0.009,0.011,0.015,0.017,0.019,0.023,0.025,0.026
zdtree,ss_varden,50000000,3,0.02,0.034,0.049,0.063,0.08,0.093,0.121,0.14,0.152,0.155
zdtree,ss_varden,100000000,3,0.041,0.078,0.114,0.148,0.18,0.208,0.279,0.317,0.335,0.324
zdtree,ss_varden,500000000,3,0.22,0.463,0.703,0.915,1.047,1.442,1.646,1.805,1.892,1.731
test,uniform,10000000,3,0.008,0.011,0.014,0.016,0.021,0.025,0.029,0.035,0.038,0.004
test,uniform,50000000,3,0.038,0.056,0.076,0.088,0.103,0.119,0.133,0.146,0.17,0.022
test,uniform,100000000,3,0.078,0.108,0.145,0.171,0.202,0.238,0.267,0.297,0.345,0.046
test,uniform,500000000,3,0.395,0.542,0.7,0.911,1.105,1.35,1.627,1.816,2.053,0.229
zdtree,uniform,10000000,3,0.017,0.024,0.024,0.027,0.03,0.033,0.035,0.038,0.044,0.032
zdtree,uniform,50000000,3,0.077,0.097,0.115,0.135,0.151,0.166,0.197,0.217,0.23,0.176
zdtree,uniform,100000000,3,0.153,0.2,0.237,0.269,0.304,0.337,0.406,0.45,0.467,0.357
zdtree,uniform,500000000,3,0.785,1.005,1.191,1.383,1.555,1.97,2.169,2.323,2.535,1.933
